Vyhodnocováno skriptem: FortyThree.py 
 
Vstupní parametry: 
Faktor šírky píku = 1 
Pocet iterací pri vyhlazování pozadí = 8  
Byl použit 4. typ vyhlazování pozadí. 
Spektrum nebylo vyhlazováno. 
 
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 2465.52
 
Energie (keV)                Plocha (-)                Reakce                   Intenzita(%)                 Isotop                    Polocas (s)
   673.346355                -95.911764                  n,2n                       0.0027                     196Au                 532820.16 
   675.128246                -71.859477                  n,4n                       0.0480                     194Au                  136872.0 
   676.316173                295.930750                  n,4n                       0.0480                     194Au                  136872.0 
   680.473919               -126.837068                   -                           -                         -                           -  
   682.255810                -14.328129                   -                           -                         -                           -  
   684.037701                  8.573659                   -                           -                         -                           -  
   685.819592                 -4.554977                   -                           -                         -                           -  
   688.789411                767.198826                  n,2n                       0.0061                     196Au                 532820.16 
   692.353193                  1.873098                   -                           -                         -                           -  
   695.323011                  8.732250                   -                           -                         -                           -  
   697.698866                 16.301790                   -                           -                         -                           -  
   700.074721                 24.248386                   n,a                       0.0025                     194Ir                   69408.0 
   702.450575                  2.236877                  n,4n                       0.0900                     194Au                  136872.0 
   704.826430                 30.990561                   -                           -                         -                           -  
   708.390212                 17.607965                   -                           -                         -                           -  
   710.172103                 13.256386                   -                           -                         -                           -  
   711.360031                 14.586070                   -                           -                         -                           -  
   713.735885                 22.213673                   -                           -                         -                           -  
   716.705704                 20.343099                   -                           -                         -                           -  
   719.675522                 27.624609                   -                           -                         -                           -  
   722.645341                 13.526432                   -                           -                         -                           -  
   724.427232                -15.491189                   -                           -                         -                           -  
   726.803086                  2.336270                   -                           -                         -                           -  
   727.991014                 42.667646                   -                           -                         -                           -  
   730.366868                 -7.888563                   -                           -                         -                           -  
   732.742723                 -6.416527                   -                           -                         -                           -  
   733.930650                  9.586456                   -                           -                         -                           -  
   736.900469                  7.942409                  n,4n                       0.1030                     194Au                  136872.0 
   739.870287                 14.028125                   -                           -                         -                           -  
   741.652178                 32.393006                   -                           -                         -                           -  
   744.028033                 14.225347                   -                           -                         -                           -  
   745.215960                  8.630671                   -                           -                         -                           -  
   748.185779                 13.841716                   -                           -                         -                           -  
   750.561634                  6.447239                   -                           -                         -                           -  
   751.749561                 28.593524                   -                           -                         -                           -  
   755.313343                 13.864508                   -                           -                         -                           -  
   757.689198                 12.732614                   -                           -                         -                           -  
   758.877125                 20.160871                  n,2n                       0.0443                     196Au                 532820.16 
   761.846944                  3.088004                   -                           -                         -                           -  
   763.628835                  9.918223                   -                           -                         -                           -  
   764.816762                 26.242879                   -                           -                         -                           -  
   768.380544                 48.469849                   -                           -                         -                           -  
   771.350362                 14.200675                   -                           -                         -                           -  
   773.132254                 29.422576                   -                           -                         -                           -  
   775.508108                 12.363081                   -                           -                         -                           -  
   778.477927                  8.390148                   -                           -                         -                           -  
   780.853781                  5.907827                   -                           -                         -                           -  
   782.635672                  0.858165                  n,4n                       0.0430                     194Au                  136872.0 
   783.823600                  9.063833                   -                           -                         -                           -  
   786.199455                 -2.756500                   -                           -                         -                           -  
   787.387382                 22.247833                   -                           -                         -                           -  
   789.169273                  0.749278                   -                           -                         -                           -  
   791.545128                 26.106833                   -                           -                         -                           -  
   793.327019                 11.620290                   -                           -                         -                           -  
   795.108910                 47.261422                   -                           -                         -                           -  
   798.672692                 27.207660                   -                           -                         -                           -  
   800.454583                 17.195714                   -                           -                         -                           -  
   804.018365                 11.703131                   -                           -                         -                           -  
   806.394220                 30.729913                  n,4n                       0.0200                     194Au                  136872.0 
   808.770074                 29.704780                   -                           -                         -                           -  
   811.739893                 20.025546                   -                           -                         -                           -  
   813.521784                 13.568351                   -                           -                         -                           -  
   814.709711                 28.410246                  n,4n                       0.0073                     194Au                  136872.0 
   817.085566                  9.507595                   -                           -                         -                           -  
   818.867457                 11.027064                  n,4n                       0.0338                     194Au                  136872.0 
   822.431239                  6.453466                   -                           -                         -                           -  
   823.619167                 20.203985                   -                           -                         -                           -  
   825.401058                 28.995738                   -                           -                         -                           -  
   828.964840                 12.393035                   -                           -                         -                           -  
   830.746731                 30.600450                   -                           -                         -                           -  
   833.716549                  6.154782                   -                           -                         -                           -  
   835.498440                  9.607149                   -                           -                         -                           -  
   837.874295                 14.646828                   -                           -                         -                           -  
   839.062222                 15.943878                   -                           -                         -                           -  
   841.438077                  8.738536                   -                           -                         -                           -  
   844.407895                  9.030801                   -                           -                         -                           -  
   846.189786                 13.176934                  n,4n                       0.0540                     194Au                  136872.0 
   847.971678                 15.337516                   -                           -                         -                           -  
   852.129423                 15.501141                   -                           -                         -                           -  
   853.911314                 10.333714                   -                           -                         -                           -  
   855.693205                 20.345834                  n,4n                       0.0650                     194Au                  136872.0 
   858.663024                  6.144066                   n,a                       0.0017                     194Ir                   69408.0 
   861.632842                 43.742130                   -                           -                         -                           -  
   864.008697                 10.349341                   -                           -                         -                           -  
   865.790588                  9.449780                   -                           -                         -                           -  
   866.978515                  8.927705                   -                           -                         -                           -  
   869.354370                 22.470067                   -                           -                         -                           -  
   872.918152                 11.776087                   -                           -                         -                           -  
   876.481934                  6.345764                   -                           -                         -                           -  
   877.669862                 -3.638753                   -                           -                         -                           -  
   879.451753                  9.231527                   -                           -                         -                           -  
   881.827607                 15.599226                   -                           -                         -                           -  
   883.609499                 13.877577                   -                           -                         -                           -  
   886.579317                 14.233247                   -                           -                         -                           -  
   887.767244                 13.872804                   -                           -                         -                           -  
   890.737063                  8.192583                   n,a                       0.0510                     194Ir                   69408.0 
   893.706881                 21.541423                  n,4n                       0.0360                     194Au                  136872.0 
   897.270663                 14.299176                   -                           -                         -                           -  
   898.458591                  9.102255                   -                           -                         -                           -  
   901.428409                 -2.670462                  n,4n                       0.0362                     194Au                  136872.0 
   902.616336                  9.048399                   -                           -                         -                           -  
   905.586155                  0.723764                   -                           -                         -                           -  
   908.555973                -11.635943                   -                           -                         -                           -  
   910.337864                -25.022899                   -                           -                         -                           -  
   911.525792                179.888406                   -                           -                         -                           -  
   915.683537                -10.176683                   -                           -                         -                           -  
   920.435247                 -0.105389                   -                           -                         -                           -  
   922.217138                  9.819742                   -                           -                         -                           -  
   925.186956                  3.817464                   n,a                       0.0126                     194Ir                   69408.0 
   927.562811                  9.017008                   -                           -                         -                           -  
   928.750738                 24.994584                   -                           -                         -                           -  
   931.720557                  0.635215                   -                           -                         -                           -  
   934.690375                 45.671006                   -                           -                         -                           -  
   937.660194                 12.073873                   -                           -                         -                           -  
   941.223976                 20.474693                   -                           -                         -                           -  
   942.411903                 19.324898                   -                           -                         -                           -  
   945.381721                  2.417566                   -                           -                         -                           -  
   947.163613                  8.722522                   -                           -                         -                           -  
   948.351540                 17.678700                  n,4n                       2.2800                     194Au                  136872.0 
   950.727395                 11.698456                   -                           -                         -                           -  
   953.103249                  7.980464                   -                           -                         -                           -  
   954.885140                  9.420199                   -                           -                         -                           -  
   958.448923                 19.893414                   -                           -                         -                           -  
   960.230814                 -0.648872                   -                           -                         -                           -  
   963.200632                  7.126674                   -                           -                         -                           -  
   964.388559                 16.594570                   -                           -                         -                           -  
   966.170450                 17.254816                   -                           -                         -                           -  
   969.734232                124.918629                   -                           -                         -                           -  
   971.516124                 12.305972                   -                           -                         -                           -  
   973.298015                  4.657546                   -                           -                         -                           -  
   975.673869                 11.774738                   -                           -                         -                           -  
