Přírodní isotopické složení: 100% 197Au,,,,,,,,,,,,,,,,,,,,,,
M=,196.966569,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Id,Reakce,Prah (keV),Isotop,Poločas (d),Poločas (s),Chyba T1/2 (d),Chyba T1/2 (s),Lambda,Energie (keV),Chyba energie (keV),Intenzita (%),Chyba intenzity (%),S (plocha peaku),Chyba plochy (%),Abs. Chyba plochy,Efektivita,Nr,Rr,Chyba Rr,A,Rr/Chyba Rr,Column 1/Chyba Rr
18,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,570.203,0.018,0.0069,0.0005,,,,,,,,,,
120,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,600.5,0.1,62,3,,,,,,,,,,
58,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,621.974,0.019,1.71,0.18,,,,,,,,,,
53,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,645.157,0.016,2.14,0.11,,,,,,,,,,
117,(n>a),0,194Ir,0.8033333333,69408,0,0,9.98656034693328E-06,645.157,0.016,1.18,3,,,,,,,,,,
21,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,659.389,0.012,0.0037,0.0003,,,,,,,,,,
22,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,672.9,0.007,0.0027,0.0003,,,,,,,,,,
2,(n>g),0,198Au,2.69517,232862.688,0,0,2.97663479930261E-06,675.8836,0.0007,0.804,0.003,,,,,,,,,,
121,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,687.7,0.1,59,3,,,,,,,,,,
20,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,688.76,0.1,0.0061,0.0017,,,,,,,,,,
16,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,758.358,0.01,0.0444,0.0017,,,,,,,,,,
66,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,938.7,0.2,1.1,0.06,,,,,,,,,,
52,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,948.29,0.04,2.2,0.12,,,,,,,,,,
23,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,1005.894,0.02,0.0027,0.0003,,,,,,,,,,
127,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,1011.8,0.5,3.6,0.2,,,,,,,,,,
3,(n>g),0,198Au,2.69517,232862.688,0,0,2.97663479930261E-06,1087.684,0.003,0.159,0.002,,,,,,,,,,
14,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,1091.331,0.017,0.149,0.006,,,,,,,,,,
54,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1104.05,0.03,2.01,0.12,,,,,,,,,,
63,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1150.76,0.04,1.39,0.08,,,,,,,,,,
55,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1175.36,0.04,2.01,0.12,,,,,,,,,,
67,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1218.77,0.04,1.1,0.06,,,,,,,,,,
64,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1342.15,0.05,1.22,0.09,,,,,,,,,,
25,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,1361,1,0.00044,0.00017,,,,,,,,,,
24,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,1446.84,0.12,0.00078,0.00017,,,,,,,,,,
50,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1468.91,0.04,6.4,0.4,,,,,,,,,,
68,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1592.4,0.1,1.1,0.12,,,,,,,,,,
59,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1595.76,0.07,1.71,0.18,,,,,,,,,,
57,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1885.9,0.1,1.89,0.12,,,,,,,,,,
62,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1887,1,1.4,0.12,,,,,,,,,,
56,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,1924.2,0.6,2.01,0.12,,,,,,,,,,
51,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,2043.67,0.05,3.6,0.18,,,,,,,,,,
